metric,U,p_value,effect_size_r,n_human,n_ai,median_human,median_ai,significant_0.05
like_to_view_ratio,52946.0,0.85737304409705,0.008167547113259177,372,287,0.02825983416007545,0.0306760453302071,False
comment_rate,59850.0,0.007608566270023078,-0.12116443745082606,372,287,0.00201599836476665,0.0018579424367711,True
mean_sentiment,48275.5,0.03510795062201108,0.09565958562811439,372,287,0.12669035714285715,0.1478676767676767,True
pct_negative,55159.0,0.46341077200251835,-0.03328837435839804,372,287,0.22281323877068554,0.2340425531914893,False
authenticity_flag_rate,58142.0,0.046799104945920135,-0.08916863362182004,372,287,0.02970588235294115,0.0210526315789473,True
