model,n_train,n_test,accuracy,precision,recall,f1,roc_auc
logistic_regression,24188,6047,0.8490160410120721,0.9118753358409457,0.8529781352098518,0.8814439683158032,0.9216940071740272
random_forest,24188,6047,0.8366131966264263,0.8630735615440641,0.8934405629555164,0.8779945665596444,0.9027113696033772
xgboost,24188,6047,0.7927898131304779,0.775910931174089,0.9633073636592109,0.8595133983630452,0.8733421789345709
